  VOLKSWAGEN Polo 1.8 TSI BMT GTI DSG  ,20.000 € ,Alicante,2016, Gasolina,34.500 km,Automático,192 cv
  VOLKSWAGEN Golf 2.0TDI CR BMT Advance 150  ,16.900 € ,Madrid,2014, Diesel,58.809 km,Manual,150 cv
  MINI Mini Clubman One D  ,15.500 € ,Alicante,2016, Diesel,31.310 km,Manual,116 cv
  BMW X4 xDrive 20dA  ,44.000 € ,Alicante,2018, Diesel,10.700 km,Automático,190 cv
  AUDI A3 Sportback 1.5 TFSI COD EVO Design Edition 110kW  ,22.500 € ,Barcelona,2018, Gasolina,10.440 km,Manual,150 cv
  LEXUS RX 450H HYBRID ANIVERSARIO  ,36.400 € ,Madrid,2015, Eléctrico,97.000 km,Automático,299 cv
  FORD Fiesta 1.1 Ti-VCT Trend  ,10.200 € ,Madrid,2018, Gasolina,12.690 km,Manual,85 cv
  MERCEDES-BENZ Clase A 250 4Matic 7G-DCT  ,41.990 € ,Vizcaya,2018, Gasolina,9.700 km,Automático,224 cv
  MERCEDES-BENZ Clase C BLUETEC / D AMG LINE  ,33.500 € ,Toledo,2018, Diesel,10.000 km,Automático,169 cv
  MERCEDES-BENZ Clase GLC 220d 4Matic Aut.  ,38.900 € ,Málaga,2016, Diesel,53.457 km,Automático,170 cv
  NISSAN X-Trail 1.6 DIG-T N-Connecta 4x2 7 pl.  ,24.900 € ,Barcelona,2018, Gasolina,10.430 km,Manual,163 cv
  NISSAN Qashqai 1.2 DIG-T Acenta 4x2  ,17.400 € ,Barcelona,2018, Gasolina,7.071 km,Manual,115 cv
  MINI Mini Cooper D - 5 Puertas - 2014  ,16.000 € ,Alicante,2016, Diesel,27.200 km,Manual,
  BMW Serie 1 116d  ,16.800 € ,Alicante,2016, Diesel,31.500 km,Manual,
  AUDI A1 Sportback 1.6TDI Active Kit  ,15.000 € ,Barcelona,2017, Diesel,30.007 km,Manual,116 cv
  LEXUS IS 2.5 300H BUSINESS  ,30.990 € ,Madrid,2018, Eléctrico,9.000 km,Automático,223 cv
  SEAT León 2.0 TSI S&S Cupra 300  ,24.990 € ,Barcelona,2018, Gasolina,14.000 km,Manual,300 cv
  MASERATI GranTurismo AUT. - 55.200KM - BLANCO FUJI - FULL EQUIPE  ,58.500 € ,Islas Baleares,2010, Gasolina,55.200 km,Automático,405 cv
